id,ing_name,prot.ing.g.,fat.ing.g.,total_cab.ing.g.,modified_cal.ing.kcal.
1,大麥仁,8.9117,1.5967,76.1246,342.9202
2,大麥片,8.636,1.79,76.6666,351.8982
3,大麥仁粉,7.118,1.3142,84.9554,373.5733
4,小米,11.3135,3.655,71.6907,365.4819
5,糯小米,12.465,1.5164,72.5162,357.167
6,小麥,14.118,2.565,69.1678,337.7443
7,小麥胚芽,31.362,11.585,47.9154,395.8457
8,水餃皮,7.7565,0.5075,56.9823,260.6173
9,春捲皮,8.29,0.652,50.4453,236.7806
10,餛飩皮,8.34,0.543,58.1781,267.9264
11,去筋麵粉,0.181,0.1165,85.7443,353.9987
12,澄粉,0.181,0.1165,85.7443,353.9987
13,低筋麵粉,8.0855,1.175,78.1938,359.4091
14,中筋麵粉,11.4535,1.31,74.0972,357.1774
15,高筋麵粉,12.945,1.19,73.0587,357.5894
16,全麥麵粉,12.968,1.706,71.429,342.2919
17,雜糧中筋麵粉,13.113,2.2865,71.978,349.5735
18,雜糧高筋麵粉,14.288,2.7543,69.589,349.6557
19,乾麵條,11.4963,1.3691,74.5912,352.9601
20,油麵條,11.4,1.2055,76.2505,359.2127
21,油麵,11.4,1.2055,76.2505,359.2127
22,紅蘿蔔麵,12.082,0.97,73.7599,347.1368
23,通心麵,13.818,1.43,72.5922,354.8634
24,菠菜條,11.792,1.22,74.3597,350.6728
25,鍋燒意麵,10,22.77,58.5053,472.8864
26,雞蛋麵,12.511,0.94,74.8198,352.2332
27,刀削麵,8.353,0.94,56.1804,264.6652
28,拉麵,9.108,0.815,62.1292,289.6736
29,意麵,10.069,0.99,60.1044,280.5782
30,衛生油麵,5.465,1.845,31.1845,162.0968
31,金門黃麵,6.411,0.5338,31.8873,153.3348
32,冷凍烏龍麵,2.972,0.3623,27.6876,123.6193
33,鍋燒麵,4.4915,0.4,24.5534,118.7086
34,麵筋,42.5115,53,0,639.1694
35,麵腸,20.636,1.85,9.6858,136.7618
36,長麵線,10.7203,1.073,64.339,306.0046
37,壽麵線,10.7203,1.073,64.339,306.0046
38,蚵仔麵線,11.268,1.41,62.3046,302.8364
39,麵線,11.707,1.4957,72.3655,344.7299
40,雞絲麵,9.4,22.83,54.9905,460.628
41,白玉米,3.4,0.64,11.45,57.9808
42,紫玉米,4.461,1.032,34.4208,157.4456
43,甜玉米,3.25,2.4772,17.8305,96.9226
44,玉米,3.25,2.4772,17.8305,96.9226
45,黃玉米,3.25,2.4772,17.8305,96.9226
46,雙色水果玉米,3.104,2.5503,17.4564,96.8607
47,玉米,3.104,2.5503,17.4564,96.8607
48,黃玉米,3.104,2.5503,17.4564,96.8607
49,糯玉米,4.727,1.898,33.4494,164.7881
50,玉米胚芽,7.035,0.8954,80.3116,353.8919
51,玉米仁,7.035,0.8954,80.3116,353.8919
52,珍珠米,7.035,0.8954,80.3116,353.8919
53,冷凍玉米粒,3.1,8.2,22.53,167.0066
54,乾玉米粒,10.8765,3.9421,72.2077,345.8602
55,玉米粉,0.323,0.4163,88.3084,368.176
56,玉米粒罐頭,2.3413,1.4356,16.9237,82.7096
57,玉米醬罐頭,1.4045,0.4445,13.9809,62.1611
58,秈米平均值,7.823,0.8554,77.3827,355.3957
59,在來米,7.823,0.8554,77.3827,355.3957
60,長米,7.823,0.8554,77.3827,355.3957
61,秈米(台中在來2號),8.2,1,76.3,353.728
62,在來米,8.2,1,76.3,353.728
63,長米,8.2,1,76.3,353.728
64,秈米(台中秈10號),7.446,0.7108,78.4653,357.0634
65,在來米,7.446,0.7108,78.4653,357.0634
66,長米,7.446,0.7108,78.4653,357.0634
67,粳米平均值,7.0319,0.6964,77.8224,352.4847
68,蓬萊米,7.0319,0.6964,77.8224,352.4847
69,圓米,7.0319,0.6964,77.8224,352.4847
70,粳米(台中189號),7.5,0.56,78.0588,354.8937
71,蓬萊米,7.5,0.56,78.0588,354.8937
72,圓米,7.5,0.56,78.0588,354.8937
73,粳米(台南11號),6.741,0.4819,77.1738,346.7403
74,蓬萊米,6.741,0.4819,77.1738,346.7403
75,圓米,6.741,0.4819,77.1738,346.7403
76,粳米(台粳2號),7.205,0.5069,78.7163,355.4993
77,蓬萊米,7.205,0.5069,78.7163,355.4993
78,圓米,7.205,0.5069,78.7163,355.4993
79,粳米(台粳71號),7.9183,0.6393,77.7507,354.7453
80,蓬萊米,7.9183,0.6393,77.7507,354.7453
81,圓米,7.9183,0.6393,77.7507,354.7453
82,益全香米,7.9183,0.6393,77.7507,354.7453
83,粳米(台粳8號),6.928,0.4024,78.8316,354.2366
84,蓬萊米,6.928,0.4024,78.8316,354.2366
85,圓米,6.928,0.4024,78.8316,354.2366
86,粳米(台粳9號),6.58,0.6335,78.2041,352.0274
87,蓬萊米,6.58,0.6335,78.2041,352.0274
88,圓米,6.58,0.6335,78.2041,352.0274
